filename,x_min,y_min,x_max,y_max,id_gt
NARS-13_000039.JPG,5968,3124,6077,3296,Flower_01
NARS-13_000039.JPG,5765,870,5988,1038,Flower_02
NARS-13_000040.JPG,5820,900,5992,1080,Flower_02
NARS-13_000040.JPG,5968,3124,6077,3296,Flower_01
NARS-13_000043.JPG,5820,879,6019,1060,Flower_02
NARS-13_000043.JPG,5966,3136,6077,3332,Flower_01
NARS-13_000043.JPG,4967,961,5113,1101,Flower_03
NARS-13_000045.JPG,4903,943,5032,1081,Flower_03
NARS-13_000045.JPG,5756,861,5980,1051,Flower_02
NARS-13_000045.JPG,5806,3139,6026,3326,Flower_01
NARS-13_000047.JPG,4953,968,5119,1113,Flower_03
NARS-13_000047.JPG,5768,921,5997,1135,Flower_02
NARS-13_000047.JPG,5657,2260,5798,2395,Flower_04
NARS-13_000047.JPG,5413,2565,5561,2714,Flower_05
NARS-13_000047.JPG,5855,3153,6074,3344,Flower_01
NARS-13_000047.JPG,1013,747,1180,875,Flower_06
NARS-13_000049.JPG,4956,962,5122,1107,Flower_03
NARS-13_000049.JPG,5783,867,6012,1081,Flower_02
NARS-13_000049.JPG,5657,2251,5798,2386,Flower_04
NARS-13_000049.JPG,5410,2556,5558,2705,Flower_05
NARS-13_000049.JPG,995,732,1162,860,Flower_06
NARS-13_000049.JPG,5855,3153,6074,3344,Flower_01
NARS-13_000050.JPG,4954,918,5119,1094,Flower_03
NARS-13_000050.JPG,5748,901,5994,1115,Flower_02
NARS-13_000050.JPG,5639,2245,5780,2380,Flower_04
NARS-13_000050.JPG,5323,2530,5479,2692,Flower_05
NARS-13_000050.JPG,986,729,1153,857,Flower_06
NARS-13_000050.JPG,5820,3154,6074,3359,Flower_01
NARS-13_000058.JPG,956,707,1169,877,Flower_06
NARS-13_000058.JPG,1221,1444,1385,1607,Flower_08
NARS-13_000058.JPG,5041,920,5269,1130,Flower_03
NARS-13_000058.JPG,5448,2575,5627,2758,Flower_05
NARS-13_000058.JPG,5781,2717,5960,2870,Flower_07
NARS-13_000058.JPG,5776,2269,5958,2447,Flower_04
NARS-13_000064.JPG,950,705,1152,875,Flower_06
NARS-13_000064.JPG,1216,1430,1393,1602,Flower_08
NARS-13_000064.JPG,5008,881,5242,1100,Flower_03
