filename,x_min,y_min,x_max,y_max,id_gt
NARS-17_000001.JPG.JPG,426,1717,675,1915,Flower_01
NARS-17_000002.JPG.JPG,346,1739,609,1947,Flower_01
NARS-17_000002.JPG.JPG,616,1020,743,1141,Flower_02
NARS-17_000007.JPG.JPG,607,1012,742,1134,Flower_02
NARS-17_000007.JPG.JPG,347,1794,656,2019,Flower_01
NARS-17_000007.JPG.JPG,3997,1295,4149,1433,Flower_03
NARS-17_000014.JPG.JPG,594,994,748,1135,Flower_02
NARS-17_000014.JPG.JPG,317,1802,650,2029,Flower_01
NARS-17_000014.JPG.JPG,3981,1292,4148,1441,Flower_03
NARS-17_000015.JPG.JPG,591,998,731,1130,Flower_02
NARS-17_000015.JPG.JPG,317,1800,635,2028,Flower_01
NARS-17_000015.JPG.JPG,3979,1297,4141,1436,Flower_03
NARS-17_000020.JPG.JPG,559,997,736,1140,Flower_02
NARS-17_000020.JPG.JPG,197,1733,530,2016,Flower_01
NARS-17_000020.JPG.JPG,3968,1234,4136,1411,Flower_03
NARS-17_000024.JPG.JPG,559,985,783,1170,Flower_02
NARS-17_000024.JPG.JPG,472,1793,791,2053,Flower_01
NARS-17_000024.JPG.JPG,4056,1251,4271,1491,Flower_03
NARS-17_000026.JPG.JPG,542,1001,800,1201,Flower_02
NARS-17_000026.JPG.JPG,433,1806,789,2066,Flower_01
NARS-17_000026.JPG.JPG,4056,1211,4284,1504,Flower_03
NARS-17_000026.JPG.JPG,5167,2617,5324,2778,Flower_04
NARS-17_000029.JPG.JPG,2701,509,2849,638,Flower_05
NARS-17_000029.JPG.JPG,5163,2635,5352,2793,Flower_04
NARS-17_000029.JPG.JPG,4059,1229,4293,1535,Flower_03
NARS-17_000029.JPG.JPG,525,979,815,1198,Flower_02
NARS-17_000029.JPG.JPG,358,1825,767,2080,Flower_01
NARS-17_000041.JPG.JPG,507,969,816,1224,Flower_02
NARS-17_000041.JPG.JPG,350,1859,789,2106,Flower_01
NARS-17_000041.JPG.JPG,5166,2634,5366,2802,Flower_04
NARS-17_000041.JPG.JPG,4026,1235,4296,1564,Flower_03
NARS-17_000041.JPG.JPG,2703,513,2840,642,Flower_05
NARS-17_000042.JPG.JPG,505,975,811,1225,Flower_02
NARS-17_000042.JPG.JPG,423,1873,822,2107,Flower_01
NARS-17_000042.JPG.JPG,2685,516,2842,648,Flower_05
NARS-17_000042.JPG.JPG,4112,1242,4324,1569,Flower_03
NARS-17_000042.JPG.JPG,5171,2638,5369,2805,Flower_04
NARS-17_000043.JPG.JPG,498,968,809,1232,Flower_02
NARS-17_000043.JPG.JPG,369,1872,802,2120,Flower_01
NARS-17_000043.JPG.JPG,2679,509,2864,658,Flower_05
NARS-17_000043.JPG.JPG,4105,1223,4329,1560,Flower_03
NARS-17_000043.JPG.JPG,5181,2625,5375,2814,Flower_04
NARS-17_000045.JPG.JPG,496,959,795,1220,Flower_02
NARS-17_000045.JPG.JPG,1306,1113,1471,1269,Flower_06
NARS-17_000045.JPG.JPG,2679,501,2856,664,Flower_05
NARS-17_000045.JPG.JPG,5181,2594,5379,2808,Flower_04
NARS-17_000045.JPG.JPG,4072,1190,4314,1525,Flower_03
NARS-17_000045.JPG.JPG,391,1818,798,2094,Flower_01
NARS-17_000048.JPG.JPG,400,1803,808,2076,Flower_01
NARS-17_000048.JPG.JPG,514,980,823,1234,Flower_02
NARS-17_000048.JPG.JPG,1293,1103,1487,1292,Flower_06
NARS-17_000048.JPG.JPG,2650,471,2871,690,Flower_05
NARS-17_000048.JPG.JPG,5186,2592,5392,2849,Flower_04
NARS-17_000048.JPG.JPG,4098,1236,4326,1543,Flower_03
NARS-17_000050.JPG.JPG,529,997,854,1255,Flower_02
NARS-17_000050.JPG.JPG,1278,1103,1502,1312,Flower_06
NARS-17_000050.JPG.JPG,430,1851,829,2095,Flower_01
NARS-17_000050.JPG.JPG,2652,485,2878,702,Flower_05
NARS-17_000050.JPG.JPG,4120,1230,4329,1542,Flower_03
NARS-17_000050.JPG.JPG,5199,2603,5403,2892,Flower_04
NARS-17_000057.JPG.JPG,522,990,830,1264,Flower_02
NARS-17_000057.JPG.JPG,1254,1091,1509,1320,Flower_06
NARS-17_000057.JPG.JPG,2641,478,2889,714,Flower_05
NARS-17_000057.JPG.JPG,4065,1239,4320,1575,Flower_03
NARS-17_000057.JPG.JPG,5197,2587,5426,2864,Flower_04
NARS-17_000057.JPG.JPG,375,1851,774,2095,Flower_01
NARS-17_000059.JPG.JPG,521,986,832,1249,Flower_02
NARS-17_000059.JPG.JPG,1258,1092,1505,1319,Flower_06
NARS-17_000059.JPG.JPG,379,1822,790,2081,Flower_01
NARS-17_000059.JPG.JPG,2621,477,2902,720,Flower_05
NARS-17_000059.JPG.JPG,5200,2630,5402,2902,Flower_04
NARS-17_000060.JPG.JPG,520,981,842,1251,Flower_02
NARS-17_000060.JPG.JPG,1260,1089,1513,1317,Flower_06
NARS-17_000060.JPG.JPG,412,1821,800,2084,Flower_01
NARS-17_000060.JPG.JPG,2641,486,2894,712,Flower_05
NARS-17_000060.JPG.JPG,5203,2636,5409,2899,Flower_04
NARS-17_000067.JPG.JPG,516,1004,839,1279,Flower_02
NARS-17_000067.JPG.JPG,1228,1084,1510,1340,Flower_06
NARS-17_000067.JPG.JPG,422,1870,824,2103,Flower_01
NARS-17_000067.JPG.JPG,2632,494,2899,737,Flower_05
NARS-17_000067.JPG.JPG,5237,2636,5398,2865,Flower_04
NARS-17_000068.JPG.JPG,515,1010,848,1272,Flower_02
NARS-17_000068.JPG.JPG,1239,1093,1504,1339,Flower_06
NARS-17_000068.JPG.JPG,481,1867,835,2117,Flower_01
NARS-17_000068.JPG.JPG,2631,514,2897,727,Flower_05
NARS-17_000068.JPG.JPG,5236,2630,5391,2892,Flower_04
NARS-17_000069.JPG.JPG,511,993,843,1278,Flower_02
NARS-17_000069.JPG.JPG,1237,1096,1512,1354,Flower_06
NARS-17_000069.JPG.JPG,456,1845,827,2109,Flower_01
NARS-17_000069.JPG.JPG,2623,503,2895,733,Flower_05
NARS-17_000069.JPG.JPG,5216,2601,5405,2899,Flower_04
NARS-17_000071.JPG.JPG,551,1005,865,1262,Flower_02
NARS-17_000071.JPG.JPG,1237,1102,1506,1342,Flower_06
NARS-17_000071.JPG.JPG,479,1829,832,2108,Flower_01
NARS-17_000071.JPG.JPG,2635,517,2903,728,Flower_05
