frame,filename,x_c,y_c,objectID
000191,NARS-13_000191.JPG,820.5,399.0,0
000191,NARS-13_000191.JPG,991.0,712.0,1
000191,NARS-13_000191.JPG,1458.0,780.0,2
000191,NARS-13_000191.JPG,2141.0,881.5,3
000191,NARS-13_000191.JPG,1532.0,393.5,4
000191,NARS-13_000191.JPG,1751.0,281.5,5
000191,NARS-13_000191.JPG,2808.5,261.0,6
000191,NARS-13_000191.JPG,2945.5,345.0,7
000191,NARS-13_000191.JPG,2800.5,1612.5,8
000191,NARS-13_000191.JPG,2946.0,2494.0,9
000191,NARS-13_000191.JPG,3138.0,2418.0,10
000191,NARS-13_000191.JPG,3158.0,2667.5,11
000191,NARS-13_000191.JPG,1176.5,1550.5,12
000191,NARS-13_000191.JPG,3968.5,3262.5,13
000191,NARS-13_000191.JPG,3534.5,1988.5,14
000191,NARS-13_000191.JPG,3545.0,2194.0,15
000191,NARS-13_000191.JPG,3578.0,1714.5,16
000191,NARS-13_000191.JPG,4084.5,2308.0,17
000191,NARS-13_000191.JPG,4601.0,3089.5,18
000191,NARS-13_000191.JPG,4564.5,3257.0,19
000191,NARS-13_000191.JPG,4852.5,3268.5,20
000191,NARS-13_000191.JPG,4658.5,2490.5,21
000191,NARS-13_000191.JPG,694.5,2252.0,22
000191,NARS-13_000191.JPG,4692.0,1558.5,23
000191,NARS-13_000191.JPG,5225.0,332.5,24
000191,NARS-13_000191.JPG,4903.0,1202.5,25
000191,NARS-13_000191.JPG,5041.0,1439.5,26
000191,NARS-13_000191.JPG,5091.5,2854.0,27
000191,NARS-13_000191.JPG,5314.0,3091.0,28
000191,NARS-13_000191.JPG,5249.5,2664.0,29
000191,NARS-13_000191.JPG,5462.0,2650.0,30
000191,NARS-13_000191.JPG,5252.5,2412.5,31
000191,NARS-13_000191.JPG,5346.5,2053.0,32
000191,NARS-13_000191.JPG,579.0,2244.0,33
000191,NARS-13_000191.JPG,5522.0,1816.0,34
000191,NARS-13_000191.JPG,5751.0,1207.5,35
000191,NARS-13_000191.JPG,5831.5,1639.5,36
000191,NARS-13_000191.JPG,5729.0,2344.5,37
000191,NARS-13_000191.JPG,5905.0,2360.0,38
000191,NARS-13_000191.JPG,5976.5,2629.0,39
000191,NARS-13_000191.JPG,5801.5,2864.0,40
000191,NARS-13_000191.JPG,5949.5,3220.0,41
000191,NARS-13_000191.JPG,826.5,2442.0,42
000191,NARS-13_000191.JPG,1170.5,2741.5,43
000191,NARS-13_000191.JPG,1594.5,1877.0,44
000191,NARS-13_000191.JPG,2318.0,1752.5,45
000191,NARS-13_000191.JPG,1796.5,1240.0,46
000164,NARS-13_000164.JPG,696.5,2253.0,22
000164,NARS-13_000164.JPG,5921.0,3194.0,41
000164,NARS-13_000164.JPG,1140.5,1531.0,12
000164,NARS-13_000164.JPG,783.0,433.5,0
000164,NARS-13_000164.JPG,966.5,759.0,1
000164,NARS-13_000164.JPG,5122.0,2911.0,27
000164,NARS-13_000164.JPG,1385.5,758.0,2
000164,NARS-13_000164.JPG,4490.5,3236.5,19
000164,NARS-13_000164.JPG,3088.5,2630.5,11
000164,NARS-13_000164.JPG,5649.0,2359.0,37
000164,NARS-13_000164.JPG,5367.5,2649.0,30
000164,NARS-13_000164.JPG,4598.0,1536.0,23
000164,NARS-13_000164.JPG,4547.5,2448.0,21
000164,NARS-13_000164.JPG,5250.0,1968.0,32
000164,NARS-13_000164.JPG,5394.5,1774.5,34
000164,NARS-13_000164.JPG,5116.5,2641.0,29
000164,NARS-13_000164.JPG,5665.0,2870.0,40
000164,NARS-13_000164.JPG,5834.5,2621.0,39
000164,NARS-13_000164.JPG,2823.5,2415.0,9
000164,NARS-13_000164.JPG,2433.5,1661.0,45
000164,NARS-13_000164.JPG,3033.0,2310.0,10
000164,NARS-13_000164.JPG,2664.5,306.5,6
000164,NARS-13_000164.JPG,3828.5,3196.5,13
000164,NARS-13_000164.JPG,5677.0,1585.0,36
000164,NARS-13_000164.JPG,4474.0,2980.0,18
000164,NARS-13_000164.JPG,3388.5,2115.5,15
000164,NARS-13_000164.JPG,4858.0,1450.5,26
000164,NARS-13_000164.JPG,1955.0,880.5,3
000164,NARS-13_000164.JPG,1579.5,1251.0,46
000164,NARS-13_000164.JPG,5731.0,2219.0,38
000164,NARS-13_000164.JPG,4669.0,1176.0,25
000164,NARS-13_000164.JPG,4981.5,2307.5,31
000164,NARS-13_000164.JPG,5458.0,1192.0,35
000164,NARS-13_000164.JPG,3285.0,1779.5,16
000164,NARS-13_000164.JPG,5020.5,2839.0,28
000164,NARS-13_000164.JPG,4920.5,891.5,24
000164,NARS-13_000164.JPG,5801.5,894.5,47
000383,NARS-13_000383.JPG,2456.0,1715.0,45
000383,NARS-13_000383.JPG,4768.5,3297.5,20
000383,NARS-13_000383.JPG,1050.5,1538.5,12
000383,NARS-13_000383.JPG,5258.0,1868.0,32
000383,NARS-13_000383.JPG,1698.5,1828.0,44
000383,NARS-13_000383.JPG,717.0,2477.5,42
000383,NARS-13_000383.JPG,898.0,653.5,1
000383,NARS-13_000383.JPG,4015.5,2447.0,17
000383,NARS-13_000383.JPG,3474.5,2266.0,15
000383,NARS-13_000383.JPG,4487.0,1715.0,23
000383,NARS-13_000383.JPG,2844.5,605.5,7
000383,NARS-13_000383.JPG,378.5,2024.0,33
000383,NARS-13_000383.JPG,1491.5,2599.5,43
000383,NARS-13_000383.JPG,5168.0,619.0,24
000383,NARS-13_000383.JPG,4153.5,2694.5,18
000383,NARS-13_000383.JPG,4338.0,1474.5,25
000383,NARS-13_000383.JPG,1059.5,1293.5,46
