maxDisap,maxDist,runMean,num_frames,num_detections,num_objects,num_predictions,num_unique_objects,num_tracks,num_matches,num_switches,num_misses,num_false_positives,precision,recall,mota,motp,mostly_tracked,partially_tracked,mostly_lost
160, 500, 70, 194,4887,4887,4887,85,78,4682,205,0,0,1.0,1.0,0.9580519746265602,0.0,85,0,0
100, 400, 140, 194,4887,4887,4887,85,83,4696,191,0,0,1.0,1.0,0.9609167178227952,0.0,85,0,0
130, 0, 90, 194,4887,4887,4887,85,53,4568,319,0,0,1.0,1.0,0.9347247800286475,0.0,85,0,0
80, 100, 80, 194,4887,4887,4887,85,322,4001,886,0,0,1.0,1.0,0.8187026805811336,0.0,85,0,0
60, 600, 90, 194,4887,4887,4887,85,73,4703,184,0,0,1.0,1.0,0.9623490894209126,0.0,85,0,0
120, 400, 30, 194,4887,4887,4887,85,81,4671,216,0,0,1.0,1.0,0.9558011049723757,0.0,85,0,0
30, 800, 80, 194,4887,4887,4887,85,69,4685,202,0,0,1.0,1.0,0.9586658481686106,0.0,85,0,0
10, 900, 110, 194,4887,4887,4887,85,75,4723,164,0,0,1.0,1.0,0.9664415797012482,0.0,85,0,0
80, 700, 100, 194,4887,4887,4887,85,72,4696,191,0,0,1.0,1.0,0.9609167178227952,0.0,85,0,0
80, 400, 120, 194,4887,4887,4887,85,83,4697,190,0,0,1.0,1.0,0.9611213423368119,0.0,85,0,0
100, 200, 140, 194,4887,4887,4887,85,139,4523,364,0,0,1.0,1.0,0.9255166768978924,0.0,85,0,0
160, 500, 90, 194,4887,4887,4887,85,78,4697,190,0,0,1.0,1.0,0.9611213423368119,0.0,85,0,0
30, 200, 40, 194,4887,4887,4887,85,145,4578,309,0,0,1.0,1.0,0.9367710251688153,0.0,85,0,0
90, 0, 50, 194,4887,4887,4887,85,53,4560,327,0,0,1.0,1.0,0.9330877839165133,0.0,85,0,0
80, 1000, 150, 194,4887,4887,4887,85,67,4666,221,0,0,1.0,1.0,0.9547779824022918,0.0,85,0,0
0, 500, 40, 194,4887,4887,4887,85,119,4730,157,0,0,1.0,1.0,0.9678739512993657,0.0,85,0,0
10, 500, 160, 194,4887,4887,4887,85,85,4745,142,0,0,1.0,1.0,0.9709433190096174,0.0,85,0,0
40, 0, 20, 194,4887,4887,4887,85,53,4627,260,0,0,1.0,1.0,0.9467976263556374,0.0,85,0,0
20, 300, 120, 194,4887,4887,4887,85,103,4709,178,0,0,1.0,1.0,0.9635768365050132,0.0,85,0,0
90, 500, 50, 194,4887,4887,4887,85,78,4675,212,0,0,1.0,1.0,0.9566196030284428,0.0,85,0,0
70, 1000, 1, 194,4887,4887,4887,85,65,4846,41,0,0,1.0,1.0,0.991610394925312,0.0,85,0,0
10, 600, 100, 194,4887,4887,4887,85,80,4731,156,0,0,1.0,1.0,0.9680785758133824,0.0,85,0,0
130, 900, 60, 194,4887,4887,4887,85,65,4683,204,0,0,1.0,1.0,0.958256599140577,0.0,85,0,0
120, 400, 150, 194,4887,4887,4887,85,83,4696,191,0,0,1.0,1.0,0.9609167178227952,0.0,85,0,0
110, 900, 40, 194,4887,4887,4887,85,65,4680,207,0,0,1.0,1.0,0.9576427255985267,0.0,85,0,0
20, 900, 70, 194,4887,4887,4887,85,67,4696,191,0,0,1.0,1.0,0.9609167178227952,0.0,85,0,0
50, 500, 60, 194,4887,4887,4887,85,78,4680,207,0,0,1.0,1.0,0.9576427255985267,0.0,85,0,0
100, 0, 120, 194,4887,4887,4887,85,53,4552,335,0,0,1.0,1.0,0.931450787804379,0.0,85,0,0
30, 1000, 160, 194,4887,4887,4887,85,68,4688,199,0,0,1.0,1.0,0.9592797217106609,0.0,85,0,0
90, 800, 150, 194,4887,4887,4887,85,68,4676,211,0,0,1.0,1.0,0.9568242275424595,0.0,85,0,0
130, 100, 130, 194,4887,4887,4887,85,319,3996,891,0,0,1.0,1.0,0.8176795580110497,0.0,85,0,0
150, 400, 60, 194,4887,4887,4887,85,83,4679,208,0,0,1.0,1.0,0.9574381010845099,0.0,85,0,0
160, 700, 1, 194,4887,4887,4887,85,69,4843,44,0,0,1.0,1.0,0.9909965213832617,0.0,85,0,0
160, 0, 150, 194,4887,4887,4887,85,53,4552,335,0,0,1.0,1.0,0.931450787804379,0.0,85,0,0
20, 600, 160, 194,4887,4887,4887,85,75,4726,161,0,0,1.0,1.0,0.9670554532432986,0.0,85,0,0
30, 400, 60, 194,4887,4887,4887,85,83,4701,186,0,0,1.0,1.0,0.961939840392879,0.0,85,0,0
160, 600, 1, 194,4887,4887,4887,85,69,4845,42,0,0,1.0,1.0,0.9914057704112953,0.0,85,0,0
90, 100, 90, 194,4887,4887,4887,85,322,4000,887,0,0,1.0,1.0,0.8184980560671169,0.0,85,0,0
80, 1000, 120, 194,4887,4887,4887,85,67,4666,221,0,0,1.0,1.0,0.9547779824022918,0.0,85,0,0
